Date,Close_honda,Close_nisan,Close_tesla,Close_ford
2016-08-25,30.62,19.44,14.734,12.47
2016-08-26,30.23,19.45,14.664,12.38
2016-08-29,30.62,19.52,14.34,12.47
2016-08-30,30.9,19.55,14.086,12.55
2016-08-31,30.81,19.6,14.13,12.6
2016-09-01,30.78,19.69,13.38,12.44
2016-09-02,30.95,20.1,13.19,12.5
2016-09-06,30.77,20.3,13.52,12.67
2016-09-07,30.88,20.38,13.445,12.7
2016-09-08,30.84,20.4,13.16,12.73
2016-09-09,30.1,20.05,12.96,12.38
2016-09-12,30.4,20.31,13.22,12.7
2016-09-13,30.1,20.1,13.07,12.38
2016-09-14,29.62,19.75,13.09,12.14
2016-09-15,29.48,19.72,13.36,12.11
2016-09-16,28.92,19.47,13.695,12.11
2016-09-19,29.03,19.52,13.76,12.11
2016-09-20,28.98,19.61,13.64,12.0
2016-09-21,29.77,20.06,13.68,12.09
2016-09-22,30.19,20.31,13.766,12.18
2016-09-23,29.48,20.31,13.83,12.17
2016-09-26,29.03,20.1,13.93,12.01
2016-09-27,29.05,20.06,13.72,11.98
2016-09-28,29.17,20.0,13.75,12.09
2016-09-29,28.83,19.61,13.38,11.97
2016-09-30,28.92,19.64,13.6,12.07
2016-10-03,29.02,19.45,14.25,12.1
2016-10-04,29.06,19.31,14.09,12.2
2016-10-05,29.9,19.6,13.9,12.48
2016-10-06,29.6,19.6,13.4,12.39
2016-10-07,29.45,19.53,13.11,12.29
2016-10-10,29.64,19.58,13.4,12.12
2016-10-11,29.16,18.9,13.34,11.99
2016-10-12,29.28,18.9,13.44,11.96
2016-10-13,29.23,18.94,13.35,11.91
2016-10-14,29.4,19.14,13.1,11.91
2016-10-17,29.16,19.02,12.93,11.88
2016-10-18,29.52,19.22,13.27,11.89
2016-10-19,29.28,19.3,13.57,12.01
2016-10-20,29.67,19.55,13.27,11.97
2016-10-21,29.8,19.6,13.336,12.02
2016-10-24,29.69,19.64,13.516,12.19
2016-10-25,29.92,19.69,13.49,11.85
2016-10-26,29.94,19.78,13.484,11.88
2016-10-27,29.95,19.8,13.6,11.74
2016-10-28,29.81,19.95,13.33,11.72
2016-10-31,29.83,20.31,13.18,11.74
2016-11-01,29.03,20.14,12.72,11.61
2016-11-02,28.38,19.95,12.53,11.4
2016-11-03,28.39,20.02,12.49,11.35
2016-11-04,27.7,19.66,12.7,11.34
2016-11-07,28.31,19.8,12.88,11.58
2016-11-08,28.44,19.9,12.99,11.48
2016-11-09,27.94,19.62,12.67,11.58
2016-11-10,28.34,18.66,12.36,11.94
2016-11-11,28.25,18.19,12.57,12.28
2016-11-14,28.52,18.42,12.09,12.06
2016-11-15,28.62,18.55,12.25,12.04
2016-11-16,28.55,18.77,12.266,12.0
2016-11-17,28.95,18.8,12.58,11.87
2016-11-18,28.7,18.7,12.336,11.76
2016-11-21,28.6,18.69,12.305,11.79
2016-11-22,28.52,18.66,12.74,11.89
2016-11-23,28.69,18.73,12.875,11.9
2016-11-25,29.4,19.16,13.11,12.04
2016-11-28,29.28,19.14,13.08,11.92
2016-11-29,29.4,19.16,12.64,11.92
2016-11-30,29.73,18.97,12.625,11.96
2016-12-01,29.62,18.73,12.125,12.43
2016-12-02,29.38,18.69,12.1,12.24
2016-12-05,29.44,18.84,12.45,12.44
2016-12-06,29.52,18.98,12.39,12.56
2016-12-07,30.02,19.34,12.875,13.06
2016-12-08,30.31,19.56,12.82,13.03
2016-12-09,30.62,19.6,12.81,13.17
2016-12-12,30.2,19.6,12.83,12.82
2016-12-13,30.3,19.72,13.21,12.77
2016-12-14,30.02,19.6,13.24,12.53
2016-12-15,30.19,19.8,13.17,12.58
2016-12-16,30.12,19.69,13.5,12.63
2016-12-19,30.2,19.98,13.516,12.66
2016-12-20,30.16,20.14,13.92,12.78
2016-12-21,30.02,20.45,13.84,12.64
2016-12-22,30.17,20.56,13.9,12.4
2016-12-23,30.2,20.64,14.23,12.46
2016-12-27,29.88,20.42,14.63,12.39
2016-12-28,29.56,20.38,14.65,12.25
2016-12-29,29.28,20.16,14.31,12.23
2016-12-30,29.19,20.0,14.24,12.13
2017-01-03,29.61,20.25,14.47,12.59
2017-01-04,30.66,20.62,15.13,13.17
2017-01-05,30.66,20.55,15.12,12.77
2017-01-06,30.47,20.27,15.266,12.76
2017-01-09,30.44,20.17,15.42,12.63
2017-01-10,30.1,20.31,15.33,12.85
2017-01-11,30.19,20.19,15.31,12.67
2017-01-12,30.16,20.2,15.305,12.59
2017-01-13,30.08,20.16,15.85,12.63
2017-01-17,29.66,20.12,15.7,12.61
2017-01-18,29.98,20.38,15.89,12.41
2017-01-19,30.34,20.08,16.25,12.43
2017-01-20,30.44,20.12,16.31,12.36
2017-01-23,30.36,20.0,16.6,12.31
2017-01-24,30.31,20.0,16.97,12.61
2017-01-25,30.8,20.3,16.97,12.79
2017-01-26,30.73,20.19,16.83,12.37
2017-01-27,30.08,19.89,16.86,12.49
2017-01-30,29.95,19.8,16.7,12.37
2017-01-31,29.72,19.83,16.8,12.36
2017-02-01,29.95,19.7,16.61,12.32
2017-02-02,30.22,19.97,16.77,12.28
2017-02-03,31.06,20.17,16.75,12.56
2017-02-06,30.88,19.94,17.19,12.52
2017-02-07,31.38,20.08,17.17,12.34
2017-02-08,31.73,20.2,17.47,12.38
2017-02-09,31.33,19.75,17.95,12.38
2017-02-10,31.56,19.84,17.95,12.51
2017-02-13,32.12,19.86,18.7,12.56
2017-02-14,32.0,19.88,18.73,12.65
2017-02-15,31.8,19.8,18.66,12.63
2017-02-16,31.5,19.77,17.94,12.54
2017-02-17,31.61,19.75,18.16,12.58
2017-02-21,31.78,19.77,18.5,12.69
2017-02-22,31.86,19.77,18.23,12.67
2017-02-23,31.62,19.69,17.06,12.56
2017-02-24,31.45,19.7,17.14,12.47
2017-02-27,31.23,19.69,16.42,12.66
2017-02-28,30.97,19.69,16.67,12.53
2017-03-01,31.3,19.95,16.67,12.69
2017-03-02,30.98,19.7,16.7,12.66
2017-03-03,31.16,19.8,16.77,12.65
2017-03-06,30.95,20.03,16.75,12.52
2017-03-07,31.06,20.12,16.58,12.46
2017-03-08,30.94,20.16,16.45,12.53
2017-03-09,30.94,20.02,16.33,12.5
2017-03-10,31.05,20.12,16.25,12.53
2017-03-13,31.05,20.16,16.4,12.54
2017-03-14,30.75,20.1,17.2,12.55
2017-03-15,31.16,20.12,17.05,12.65
2017-03-16,31.19,19.94,17.47,12.7
2017-03-17,31.05,19.98,17.44,12.48
2017-03-20,30.98,20.02,17.47,12.28
2017-03-21,30.8,19.97,16.72,11.72
2017-03-22,30.62,20.02,17.0,11.77
2017-03-23,30.73,20.03,16.98,11.67
2017-03-24,30.78,20.16,17.55,11.62
2017-03-27,30.81,20.39,18.02,11.46
2017-03-28,30.81,20.3,18.5,11.65
2017-03-29,30.8,19.9,18.48,11.68
2017-03-30,30.66,19.56,18.53,11.68
2017-03-31,30.27,19.27,18.55,11.64
2017-04-03,30.12,19.2,19.9,11.44
2017-04-04,29.62,18.81,20.25,11.37
2017-04-05,29.03,18.53,19.67,11.26
2017-04-06,28.72,18.3,19.9,11.27
2017-04-07,28.77,18.23,20.17,11.23
2017-04-10,28.66,18.23,20.83,11.25
2017-04-11,28.77,18.4,20.58,11.28
2017-04-12,28.56,18.31,19.8,11.23
2017-04-13,28.45,18.44,20.27,11.11
2017-04-17,28.69,18.67,20.1,11.28
2017-04-18,28.4,18.66,20.02,11.14
2017-04-19,28.19,18.73,20.38,11.19
2017-04-20,28.48,19.05,20.17,11.47
2017-04-21,28.52,18.98,20.38,11.34
2017-04-24,28.81,18.95,20.53,11.43
2017-04-25,28.95,19.25,20.92,11.48
2017-04-26,29.08,19.27,20.67,11.6
2017-04-27,29.02,19.06,20.58,11.47
2017-04-28,29.1,19.05,20.94,11.47
2017-05-01,29.08,19.12,21.52,11.42
2017-05-02,28.89,19.22,21.27,10.92
2017-05-03,28.92,19.2,20.73,11.07
2017-05-04,28.98,19.25,19.7,11.0
2017-05-05,29.14,19.31,20.56,11.14
2017-05-08,29.0,19.16,20.48,11.13
2017-05-09,28.47,19.11,21.42,11.16
2017-05-10,28.48,18.73,21.69,11.04
2017-05-11,28.6,18.94,21.55,11.01
2017-05-12,28.12,19.45,21.66,10.92
2017-05-15,28.33,19.28,21.06,10.94
2017-05-16,27.98,19.44,21.14,10.94
2017-05-17,27.48,19.61,20.4,10.76
2017-05-18,27.66,19.62,20.88,10.79
2017-05-19,27.69,19.75,20.72,10.87
2017-05-22,27.73,19.61,20.69,11.1
2017-05-23,27.73,19.48,20.25,11.05
2017-05-24,27.97,19.28,20.69,10.96
2017-05-25,27.66,19.34,21.12,10.86
2017-05-26,27.62,19.34,21.67,10.93
2017-05-30,27.8,19.3,22.34,11.08
2017-05-31,27.94,19.16,22.73,11.12
2017-06-01,28.3,19.3,22.69,11.41
2017-06-02,28.69,19.81,22.66,11.35
2017-06-05,28.2,19.55,23.16,11.25
2017-06-06,28.3,19.48,23.52,11.12
2017-06-07,28.25,19.56,23.98,11.07
2017-06-08,28.12,19.73,24.67,11.1
2017-06-09,27.94,19.4,23.83,11.13
2017-06-12,27.98,19.47,23.94,11.28
2017-06-13,28.08,19.6,25.06,11.27
2017-06-14,28.05,19.67,25.38,11.22
2017-06-15,27.89,19.48,25.02,11.24
2017-06-16,27.86,19.48,24.77,11.22
2017-06-19,27.75,19.27,24.66,11.24
2017-06-20,27.4,19.11,24.81,11.12
2017-06-21,27.56,19.1,25.1,11.04
2017-06-22,27.56,19.22,25.5,11.13
2017-06-23,27.66,19.33,25.56,11.04
2017-06-26,27.61,19.31,25.17,11.18
2017-06-27,27.23,19.3,24.16,11.08
2017-06-28,27.48,19.81,24.75,11.09
2017-06-29,27.19,19.67,24.05,11.17
2017-06-30,27.39,19.98,24.11,11.19
2017-07-03,27.4,19.94,23.52,11.56
2017-07-05,27.78,20.34,21.81,11.3
2017-07-06,27.31,20.1,20.6,11.18
2017-07-07,27.27,20.23,20.88,11.26
2017-07-10,27.2,20.2,21.06,11.34
2017-07-11,27.2,20.19,21.81,11.38
2017-07-12,27.5,20.28,21.97,11.47
2017-07-13,27.48,20.17,21.56,11.6
2017-07-14,27.62,20.23,21.86,11.68
2017-07-17,27.72,20.2,21.3,11.74
2017-07-18,27.66,20.34,21.88,11.75
2017-07-19,27.73,20.28,21.69,11.83
2017-07-20,27.7,20.4,22.0,11.7
2017-07-21,27.52,20.4,21.89,11.53
2017-07-24,27.4,20.39,22.83,11.29
2017-07-25,27.6,20.45,22.64,11.27
2017-07-26,27.6,20.52,22.92,11.06
2017-07-27,27.67,20.34,22.3,11.18
2017-07-28,27.66,20.11,22.34,11.17
2017-07-31,28.02,19.9,21.56,11.22
2017-08-01,28.64,19.97,21.3,10.95
2017-08-02,28.84,19.8,21.72,11.0
2017-08-03,28.67,19.84,23.14,10.93
2017-08-04,28.38,19.78,23.8,10.95
2017-08-07,28.19,19.8,23.67,10.92
2017-08-08,28.06,19.81,24.34,10.89
2017-08-09,27.88,19.77,24.23,10.92
2017-08-10,27.58,19.64,23.69,10.77
2017-08-11,27.56,19.52,23.86,10.77
2017-08-14,27.73,19.81,24.25,10.91
2017-08-15,27.66,19.97,24.16,10.84
2017-08-16,27.72,20.17,24.19,10.8
2017-08-17,27.36,19.98,23.47,10.64
2017-08-18,27.55,20.19,23.16,10.56
2017-08-21,27.55,20.06,22.53,10.57
2017-08-22,27.88,20.06,22.75,10.65
2017-08-23,27.73,20.0,23.52,10.71
2017-08-24,27.77,19.95,23.53,10.71
2017-08-25,27.97,19.9,23.2,10.82
2017-08-28,27.81,19.89,23.05,10.79
2017-08-29,27.86,20.03,23.16,10.84
2017-08-30,27.66,19.9,23.55,10.94
2017-08-31,28.1,19.98,23.73,11.03
2017-09-01,28.2,19.81,23.69,11.35
2017-09-05,28.05,20.05,23.31,11.36
2017-09-06,28.08,20.06,22.97,11.5
2017-09-07,28.22,20.25,23.38,11.4
2017-09-08,28.45,20.28,22.89,11.36
2017-09-11,28.89,20.31,24.25,11.41
2017-09-12,29.2,20.34,24.19,11.59
2017-09-13,29.22,20.45,24.42,11.62
2017-09-14,29.23,20.55,25.17,11.56
2017-09-15,29.34,20.55,25.33,11.62
2017-09-18,29.44,20.6,25.67,11.63
2017-09-19,29.55,20.72,25.0,11.72
2017-09-20,29.66,20.77,24.92,11.71
2017-09-21,29.73,20.69,24.44,11.72
2017-09-22,29.9,20.66,23.4,11.84
2017-09-25,29.94,20.66,23.0,11.94
2017-09-26,30.02,20.88,23.02,11.93
2017-09-27,29.84,20.34,22.73,11.95
2017-09-28,29.69,19.92,22.64,11.96
2017-09-29,29.56,19.48,22.73,11.97
2017-10-02,29.78,19.22,22.77,12.09
2017-10-03,30.2,19.7,23.2,12.34
2017-10-04,30.05,19.27,23.67,12.3
2017-10-05,30.08,19.25,23.69,12.25
2017-10-06,30.1,19.14,23.8,12.31
2017-10-09,30.1,19.23,22.86,12.34
2017-10-10,30.3,19.23,23.7,12.39
2017-10-11,30.31,19.3,23.64,12.38
2017-10-12,30.19,19.39,23.72,12.12
2017-10-13,30.27,19.36,23.7,12.05
2017-10-16,30.4,19.31,23.38,12.12
2017-10-17,30.4,19.34,23.72,12.27
2017-10-18,30.45,19.4,23.98,12.19
2017-10-19,30.44,19.0,23.45,12.23
2017-10-20,30.23,19.1,23.0,12.1
2017-10-23,30.38,19.23,22.47,12.04
2017-10-24,30.73,19.27,22.48,12.19
2017-10-25,30.45,19.16,21.72,12.04
2017-10-26,30.8,19.34,21.75,12.27
2017-10-27,30.94,19.34,21.39,12.06
2017-10-30,31.1,19.4,21.34,12.1
2017-10-31,31.1,19.44,22.11,12.27
2017-11-01,31.88,19.52,21.4,12.35
2017-11-02,32.8,19.55,19.95,12.42
2017-11-03,32.88,19.58,20.4,12.36
2017-11-06,33.53,19.52,20.19,12.33
2017-11-07,33.53,19.5,20.4,12.16
2017-11-08,33.62,19.4,20.3,12.06
2017-11-09,32.97,19.12,20.2,12.04
2017-11-10,32.94,19.08,20.2,12.01
2017-11-13,32.8,19.06,21.03,12.16
